Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Alan Fernandes,Homem,Bruna Soares,Mulher,1
Alan Fernandes,Homem,Bruno Matias,Homem,1
Alan Fernandes,Homem,Everton Cavalcante,Homem,2
Alan Fernandes,Homem,Felipe Rocha,Homem,2
Alan Fernandes,Homem,José Gameleira Neto,Homem,1
Alan Fernandes,Homem,Luís Felipe Santos,Homem,1
Alan Fernandes,Homem,Oswaldo de Oliveira,Homem,1
Alan Fernandes,Homem,Sâmela Ferreira,Mulher,1
Alan Fernandes,Homem,Thais Batista,Mulher,2
Alan Rodrigues,Homem,Allysson Allex Araújo,Homem,1
Alan Rodrigues,Homem,Juliana Saraiva,Mulher,1
Alan Rodrigues,Homem,Matheus Paixão,Homem,1
Alan Rodrigues,Homem,Pamella Soares,Mulher,1
Alan Rodrigues,Homem,Vanessa Dantas,Mulher,1
Alan Salvany Felinto,Homem,Rafael Lucien Bahr Arias,Homem,1
Alan Veloso,Homem,Antônio Abelém,Homem,1
Alan Veloso,Homem,Denis Rosário,Homem,1
Alan Veloso,Homem,Lucas B. Oliveira,Homem,1
Alan Xavier,Homem,Denis Carvalho,Homem,1
Alan Xavier,Homem,Fábio Martins,Homem,1
Alan Xavier,Homem,Ricardo Pimentel,Homem,1
Alana Araujo,Mulher,Carlos A. Silva,Homem,1
Alana Araujo,Mulher,Estephane Mendes,Mulher,1
Alana Araujo,Mulher,Geraldo Braz Junior,Homem,1
Alana Araujo,Mulher,Giovanna Pavani,Mulher,1
Alana Araujo,Mulher,Karla Silva,Mulher,1
Alana Araujo,Mulher,Katia Salles,Mulher,1
Alana Araujo,Mulher,Kennedy Nunes,Homem,1
Alana Araujo,Mulher,Luis Rivero,Homem,2
Alana Araujo,Mulher,Maikon Costa,Homem,1
Alana Araujo,Mulher,Nathasha Pinto,Mulher,2
Alana Araujo,Mulher,Raimundo Neto,Homem,1
Alana Araujo,Mulher,Simara Rocha,Mulher,1
Alane M. de Lima,Mulher,André L. Vignatti,Homem,1
Alane M. de Lima,Mulher,Murilo V. G. da Silva,Homem,1
Alba S. L. do Nascimento,Mulher,Anna Raquel S. Marinho,Mulher,1
Alba S. L. do Nascimento,Mulher,Givanaldo R. de Souza,Homem,1
Alba Sandyra B. Lopes,Mulher,Amanda dos S. Bernardo,Mulher,1
Alba Sandyra B. Lopes,Mulher,Edmilson Barbalho C. Neto,Homem,1
Alba Sandyra B. Lopes,Mulher,Kadja Alleska S. de Lima,Mulher,1
Albert Lopes,Homem,Carlos Portela,Homem,2
Albert Lopes,Homem,Raaby Miranda,Mulher,1
Albert Lopes,Homem,Sandra Oliveira,Homem,1
Alberto H. F. Laender,Homem,João M. M. C. Cota,Homem,1
Alberto H. F. Laender,Homem,Raquel O. Prates,Mulher,1
Alberto Raiol,Homem,Breno Sousa,Homem,1
Alberto Raiol,Homem,Fábio Bezerra,Homem,1
Alberto Raiol,Homem,Paulo Cerqueira,Homem,1
Alberto Raiol,Homem,Rafael Santos,Homem,1
Alcides Calsavara,Homem,Ana Paula Gonçalves Serra,Mulher,1
Alcides Calsavara,Homem,Francisco de Assis Zampirolli,Homem,1
Alcides Calsavara,Homem,Leandro Silva Galvão de Carvalho,Homem,1
Alcides Calsavara,Homem,Miguel Jonathan,Homem,1
Alcides Calsavara,Homem,Ronaldo Celso Messias Correia,Homem,1
Aldo T. M. Sales,Homem,Anderson L. S. Moreira,Homem,1
Aldo T. M. Sales,Homem,Igor de A. Lima,Homem,1
Aldo T. M. Sales,Homem,Lilian B. B. Gomes,Mulher,1
Aldo T. M. Sales,Homem,Lucas H. F. Pavão,Homem,1
Aldo T. M. Sales,Homem,Marco A. O. Domingues,Homem,1
Aldo T. M. Sales,Homem,Mateus H. S. Ferraz,Homem,1
Aldri Santos,Homem,Carmem Hara,Mulher,1
Aldri Santos,Homem,Katriny Zamproni,Mulher,1
Aldri Santos,Homem,Marcos Carrero,Homem,1
Aldri Santos,Homem,Martin A. Musicante,Homem,1
Aldênio Burgos,Homem,Eduardo Alchieri,Homem,1
Alecsander Dornelles,Homem,Rafael Parizi,Homem,1
Aleffer Rocha,Homem,Leandro M. Zatesko,Homem,1
Aleffer Rocha,Homem,Sheila M. Almeida,Mulher,1
Alejandro C. Frery,Homem,Eduarda T. C. Chagas,Mulher,1
Alejandro C. Frery,Homem,Heitor S. Ramos,Homem,1
Alejandro Calderón,Homem,Christiane G. von Wangenheim,Mulher,1
Alejandro Calderón,Homem,Giani Petri,Mulher,1
Alejandro Calderón,Homem,Mercedes Ruiz,Mulher,1
Aleksander Sade Paterno,Homem,Luciana Rita Guedes,Mulher,1
Alesom Zorzi,Homem,Celina M. H. de Figueiredo,Mulher,1
Alesom Zorzi,Homem,Raphael C. S. Machado,Homem,1
Alessandra A. Paulino,Mulher,Elaine R. Faria,Mulher,1
Alessandra A. Paulino,Mulher,Fabíola S. F. Pereira,Mulher,1
Alessandra A. Paulino,Mulher,Gina M. B. Oliveira,Mulher,1
Alessandra A. Paulino,Mulher,Maria Adriana V. Lima,Mulher,1
Alessandra A. Paulino,Mulher,Maria Camila N. Barioni,Mulher,1
Alessandra A. Paulino,Mulher,Mirella S. Junqueira,Mulher,1
Alessandra Cardoso Figueredo,Mulher,Cibele Da Silva Alves,Mulher,1
Alessandra Cardoso Figueredo,Mulher,Wanderson Alexandre da Silva Quinto,Homem,1
Alessandra Herranz Gazquez,Mulher,Regiane da Silva Macuch,Mulher,1
Alessandra Martins Coelho,Mulher,Diego Nunes Noceli,Homem,1
Alessandra Martins Coelho,Mulher,Gabriela Cardoso Montes,Mulher,1
Alessandra Martins Coelho,Mulher,Ivy Oliveira Magesti,Mulher,1
Alessandra Martins Coelho,Mulher,Julie Silva Pereira,Mulher,1
Alessandra Martins Coelho,Mulher,Luiza Rosa de Moura,Mulher,2
Alessandra Martins Coelho,Mulher,Matheus de Freitas Oliveira Baffa,Homem,2
Alessandra Martins Coelho,Mulher,Nurian Maria Amâncio Coelho,Mulher,1
Aleteia Araujo,Mulher,Alice Borges,Mulher,1
Aleteia Araujo,Mulher,Alice Lima,Mulher,1
Aleteia Araujo,Mulher,Amilton L. M. Júnior,Homem,1
Aleteia Araujo,Mulher,Carla Castanho,Mulher,3
Aleteia Araujo,Mulher,Carla Koike,Mulher,3
Aleteia Araujo,Mulher,Edna Canedo,Mulher,1
Aleteia Araujo,Mulher,Eric Hans M. da Silva,Homem,1
Aleteia Araujo,Mulher,João Laterza,Homem,1
Aleteia Araujo,Mulher,Kailany Ketulhe,Mulher,1
Aleteia Araujo,Mulher,Maristela Holanda,Mulher,4
Aleteia Araujo,Mulher,Mirella M. Moro,Mulher,1
Aleteia Araujo,Mulher,Roberta B. Oliveira,Mulher,3
Aleteia P. F. Araujo,Mulher,Alice Borges,Mulher,1
Aleteia P. F. Araujo,Mulher,Alice Lima,Mulher,1
Aleteia P. F. Araujo,Mulher,Ana Júlia L. Briceño,Mulher,1
Aleteia P. F. Araujo,Mulher,Ana Sofia S. Silvestre,Mulher,1
Aleteia P. F. Araujo,Mulher,Bianca P. Castro,Mulher,1
Aleteia P. F. Araujo,Mulher,Carla Castanho,Mulher,1
Aleteia P. F. Araujo,Mulher,Carla Cavalcante Koike,Mulher,3
Aleteia P. F. Araujo,Mulher,Fernanda de Sousa,Mulher,1
Aleteia P. F. Araujo,Mulher,Maria Eduarda Santos,Mulher,1
Aleteia P. F. Araujo,Mulher,Maristela Holanda,Mulher,3
Aleteia P. F. Araujo,Mulher,Roberta B. Oliveira,Mulher,3
Aleteia P. F. Araujo,Mulher,Tais A. Oliveira,Mulher,1
Aleteia P. F. Araujo,Mulher,Thamires P. Silva,Mulher,1
Aleteia P. F. Araujo,Mulher,Vinicius R. P. Borges,Homem,1
Aleteia Patricia Araujo,Mulher,Maristela Holanda,Mulher,1
Aleteia Patricia Araujo,Mulher,Thayanna Klysnney Moreira Nunes,Mulher,1
Aleteia Patrícia F. de Araújo,Mulher,Camila N. Soares,Mulher,1
Aleteia Patrícia F. de Araújo,Mulher,Leticia L. Leite,Mulher,1
Aleteia Patrícia F. de Araújo,Mulher,Lucas M. Chagas,Homem,1
Aleteia Patrícia F. de Araújo,Mulher,Luiza A. Hansen,Mulher,1
Aleteia Patrícia F. de Araújo,Mulher,Maria Clicia Steling de Castro,Mulher,1
Aleteia Patrícia F. de Araújo,Mulher,Maristela Holanda,Mulher,2
Aleteia Patrícia F. de Araújo,Mulher,Rafaela Brum,Mulher,1
Aleteia Patrícia F. de Araújo,Mulher,Rosa Maria E. Moreira da Costa,Mulher,1
Aleteia Patrícia F. de Araújo,Mulher,Vera Maria B. Werneck,Mulher,1
Aleteia Patrícia F. de Araújo,Mulher,Vinicius R. P. Borges,Homem,1
Alex B. Vieira,Homem,Artur Ziviani,Homem,2
Alex B. Vieira,Homem,Breno Machado,Homem,1
Alex B. Vieira,Homem,Edelberto Franco,Homem,1
Alex B. Vieira,Homem,Francisco Airton Silva,Homem,1
Alex B. Vieira,Homem,Frederico O. Sales,Homem,1
Alex B. Vieira,Homem,Glauber Dias Gonçalves,Homem,1
Alex B. Vieira,Homem,Gustavo S. Carnivali,Homem,1
Alex B. Vieira,Homem,Italo Cunha,Homem,1
Alex B. Vieira,Homem,Jussara Almeida,Mulher,1
Alex B. Vieira,Homem,Paulo A. A. Esquef,Homem,1
Alex B. Vieira,Homem,Samuel de Oliveira Ribeiro,Homem,1
Alex Barradas Filho,Homem,Allan K. Barros,Homem,1
Alex Barradas Filho,Homem,Davi Viana,Homem,1
Alex Barradas Filho,Homem,João B. Bottentuit Junior,Homem,1
Alex Barradas Filho,Homem,Luis Rivero,Homem,1
Alex Borges Vieira,Homem,Bruno Marques Cremonezi,Homem,1
Alex Borges Vieira,Homem,Michele Nogueira Lima,Mulher,1
Alex Calado,Homem,Ricardo Souza,Homem,1
Alex Gliesch,Homem,Marcus Ritt,Homem,1
Alex Muniz,Homem,Lucas Fernandes,Homem,1
Alex Muniz,Homem,Marlon Cordeiro Domenech,Homem,1
Alex Muniz,Homem,Matheus Kauê Fernandes Suzin,Homem,1
Alex Muniz,Homem,Rafael Seisl Solanha,Homem,1
Alex Muniz,Homem,Rodrigo Espinosa Cabral,Homem,1
Alex R. Weber,Homem,Bruno B. Boniati,Homem,1
Alex R. Weber,Homem,Christiane G. von Wangenheim,Mulher,1
Alex R. Weber,Homem,Giani Petri,Mulher,1
Alexander Decker de Souza,Homem,Luiz Filipe Menezes Vieira,Homem,1
Alexander Decker de Souza,Homem,Marcos Augusto Menezes Vieira,Homem,1
Alexandra S. Pereira,Mulher,Antonio A. F. Loureiro,Homem,1
Alexandra S. Pereira,Mulher,Fabrício A. Silva,Homem,1
Alexandra S. Pereira,Mulher,Luiz H. A. Correia,Homem,1
Alexandra S. Pereira,Mulher,Thais R. M. B. Silva,Mulher,1
Alexandra Zimpeck,Mulher,Cleber S. Peter,Homem,2
Alexandra Zimpeck,Mulher,Felipe Marques,Homem,2
Alexandra Zimpeck,Mulher,Jorge Barbosa,Homem,1
Alexandra Zimpeck,Mulher,Lucas Penning,Homem,2
Alexandre Aragão,Homem,Ariel Teles,Homem,1
Alexandre Aragão,Homem,Arlindo da Conceição,Homem,1
Alexandre Aragão,Homem,Davi Viana,Homem,1
Alexandre Aragão,Homem,Francisco A. Silva,Homem,1
Alexandre Aragão,Homem,Inaldo Costa,Homem,1
Alexandre Aragão,Homem,Luis Rivero,Homem,1
Alexandre Aragão,Homem,Tercio Sousa,Homem,1
Alexandre B. Gomes,Homem,Danyllo W. Albuquerque,Homem,1
Alexandre B. Gomes,Homem,Maelly K. V. de Sousa,Mulher,1
Alexandre B. Gomes,Homem,Mirko Perkusich,Homem,1
Alexandre B. Gomes,Homem,Mirna C. O. Maia,Mulher,1
Alexandre B. Gomes,Homem,Raquel B. Leal,Mulher,1
Alexandre B. dos Santos,Homem,Francisco Alan de O. Santos,Homem,1
Alexandre B. dos Santos,Homem,Pedro A. Fontes Neto,Homem,1
Alexandre C. B. Delbem,Homem,Daniel R. F. Bonetti,Homem,1
Alexandre C. B. Delbem,Homem,Gesiel Rios Lopes,Homem,1
Alexandre C. B. Delbem,Homem,Gonzalo Travieso,Homem,1
Alexandre C. B. Delbem,Homem,Kalinka Branco,Mulher,1
Alexandre C. B. Delbem,Homem,Paulo S. L. Souza,Homem,1
Alexandre Cezar,Homem,Ana Shirley Ferreira Silva,Mulher,1
Alexandre Cezar,Homem,Ana Silva,Mulher,1
Alexandre Cezar,Homem,Carlos V. G. C. Lima,Homem,1
Alexandre Cezar,Homem,Carlos Vinícius Gomes Costa Lima,Homem,1
Alexandre Cezar,Homem,Julio Araujo,Homem,2
Alexandre Cezar,Homem,Júlio Araújo,Homem,1
Alexandre Cezar,Homem,Rayane Castro,Mulher,1
Alexandre Cezar,Homem,Vinicius F. Santos,Homem,1
Alexandre Cezar,Homem,Vinicius Fernandes dos Santos,Homem,1
Alexandre Costa,Homem,Bruno Pereira,Homem,1
Alexandre Costa,Homem,Flávia Delicato,Mulher,1
Alexandre Costa,Homem,Francisco Henrique Ferreira,Homem,1
Alexandre Costa,Homem,Jose Souza,Homem,1
Alexandre Costa,Homem,Marcio Imamura,Homem,1
Alexandre Costa,Homem,Rodrigo Pereira dos Santos,Homem,1
Alexandre F. Lopes,Homem,Thalia S. Santana,Mulher,2
Alexandre Grotta,Homem,Edmir P.V. Prado,Homem,1
Alexandre Martinazzo,Homem,Andrea Britto Mattos,Mulher,1
Alexandre Martinazzo,Homem,Marisa Vasconcelos,Mulher,1
Alexandre Martinazzo,Homem,Maysa M. G. Macedo,Mulher,1
Alexandre Martinazzo,Homem,Roseli Lopes,Mulher,1
Alexandre P. Züge,Homem,Carlos R. Beleti Junior,Homem,1
Alexandre P. Züge,Homem,Marcelo Valério,Homem,1
Alexandre P. Züge,Homem,Maytê G. C. Bezerra,Mulher,1
Alexandre P. Züge,Homem,Robertino M. Santiago Junior,Homem,1
Alexandre P. do Carmo,Homem,Leonardo A. Silva,Homem,1
Alexandre P. do Carmo,Homem,Mateus S. Menines,Homem,1
Alexandre P. do Carmo,Homem,Matheus D. de Oliveira,Homem,1
Alexandre P. do Carmo,Homem,Raquel F. Vassallo,Mulher,1
Alexandre P. do Carmo,Homem,Vinícius H. Izabel,Homem,1
Alexandre Pereira do Carmo,Homem,Clebeson Canuto dos Santos,Homem,1
Alexandre Pereira do Carmo,Homem,Douglas Almonfrey,Homem,1
Alexandre Pereira do Carmo,Homem,Felippe Mendonça de Queiroz,Homem,2
Alexandre Pereira do Carmo,Homem,Leonardo de Assis Silva,Homem,1
Alexandre Pereira do Carmo,Homem,Pedro Vinicius dos Santos Custodio,Homem,1
Alexandre Pereira do Carmo,Homem,Raquel Frizera Vassallo,Mulher,2
Alexandre Pereira do Carmo,Homem,Wagner Augusto Aranda Cotta,Homem,1
Alexandre Prusch Züge,Homem,Carlos R. Beleti Junior,Homem,1
Alexandre Prusch Züge,Homem,Maytê Gouvêa Coleto Bezerra,Mulher,1
Alexandre Prusch Züge,Homem,Robertino M. Santiago Junior,Homem,1
Alexandre Renato Rodrigues de Souza,Homem,Fabrício Neitzke Ferreira,Homem,1
Alexandre Renato Rodrigues de Souza,Homem,Leonardo Costa Reichow,Homem,1
Alexandre Renato Rodrigues de Souza,Homem,Renata Hax Sander Reiser,Mulher,1
Alexandre Renato Rodrigues de Souza,Homem,Rodrigo Blanke Lambrecht,Homem,1
Alexandre Ribeiro,Homem,Guilherme Londe,Homem,1
