Autor1,Autor2,Evento
Cristiano Maciel,Vinícius Carvalho Pereira,WEI
Sabrina B. Sassi,Vinícius Carvalho Pereira,WEI
José Quaresma,Marianne Eliasquevici,WEI
José Quaresma,Sandra Oliveira,WEI
Marianne Eliasquevici,Sandra Oliveira,WEI
Antonio Brasil,Jefferson Andrade,SEMISH
Antonio Brasil,Karin Komati,SEMISH
Antonio Brasil,Luiz Pinto,SEMISH
Jefferson Andrade,Karin Komati,SEMISH
Jefferson Andrade,Luiz Pinto,SEMISH
Karin Komati,Luiz Pinto,SEMISH
Antonilson Alcantara,Cleidson Souza,SEMISH
Antonilson Alcantara,Emanuel Rodrigues,SEMISH
Antonilson Alcantara,Filipe Coelho,SEMISH
Cleidson Souza,Emanuel Rodrigues,SEMISH
Cleidson Souza,Filipe Coelho,SEMISH
Emanuel Rodrigues,Filipe Coelho,SEMISH
Anderson Afonso,Luciana Chueri,WASHES
Anderson Afonso,Mariana Pinheiro,WASHES
Anderson Afonso,Mateus Lambranho Ramos,WASHES
Anderson Afonso,Rodrigo Pereira dos Santos,WASHES
Luciana Chueri,Mariana Pinheiro,WASHES
Luciana Chueri,Mateus Lambranho Ramos,WASHES
Luciana Chueri,Rodrigo Pereira dos Santos,WASHES
Mariana Pinheiro,Mateus Lambranho Ramos,WASHES
Mariana Pinheiro,Rodrigo Pereira dos Santos,WASHES
Mateus Lambranho Ramos,Rodrigo Pereira dos Santos,WASHES
Albert Lopes,Carlos Portela,WEI
Albert Lopes,Raaby Miranda,WEI
Carlos Portela,Raaby Miranda,WEI
Aleteia P. F. Araujo,Alice Lima,WIT
Aleteia P. F. Araujo,Carla Cavalcante Koike,WIT
Aleteia P. F. Araujo,Maria Eduarda Santos,WIT
Aleteia P. F. Araujo,Maristela Holanda,WIT
Aleteia P. F. Araujo,Roberta B. Oliveira,WIT
Aleteia P. F. Araujo,Vinicius R. P. Borges,WIT
Alice Lima,Carla Cavalcante Koike,WIT
Alice Lima,Maria Eduarda Santos,WIT
Alice Lima,Maristela Holanda,WIT
Alice Lima,Roberta B. Oliveira,WIT
Alice Lima,Vinicius R. P. Borges,WIT
Carla Cavalcante Koike,Maria Eduarda Santos,WIT
Carla Cavalcante Koike,Maristela Holanda,WIT
Carla Cavalcante Koike,Roberta B. Oliveira,WIT
Carla Cavalcante Koike,Vinicius R. P. Borges,WIT
Maria Eduarda Santos,Maristela Holanda,WIT
Maria Eduarda Santos,Roberta B. Oliveira,WIT
Maria Eduarda Santos,Vinicius R. P. Borges,WIT
Maristela Holanda,Roberta B. Oliveira,WIT
Maristela Holanda,Vinicius R. P. Borges,WIT
Roberta B. Oliveira,Vinicius R. P. Borges,WIT
Glívia Barbosa,Kecia Ferreira,WIT
Glívia Barbosa,Silvia Albuquerque,WIT
Kecia Ferreira,Silvia Albuquerque,WIT
Geovane F. Piccinin,Mirella M. Moro,WEI
Fernando Oliveira,Heberth Reinstein,SBCUP
Fernando Oliveira,Mateus Delatorre,SBCUP
Heberth Reinstein,Mateus Delatorre,SBCUP
Emanuel Coutinho,Leonardo Moreira,WASHES
Emanuel Coutinho,Maurício Neto,WASHES
Leonardo Moreira,Maurício Neto,WASHES
Bruno Albertini,Vitor Finotti,WPerformance
Filipe C. Fernandes,Loham da Silva,ENCompIF
Filipe C. Fernandes,Otacílio Pereira,ENCompIF
Loham da Silva,Otacílio Pereira,ENCompIF
João V. S. Leite,Marcos Bedo,ETC
João V. S. Leite,Rodolfo A. de Oliveira,ETC
Marcos Bedo,Rodolfo A. de Oliveira,ETC
Adriano Braga,Alexandre F. Lopes,WEI
Adriano Braga,Thalia Santana,WEI
Alexandre F. Lopes,Thalia Santana,WEI
Fabiano L. de Sousa,Leonardo B. da Luz,SEMISH
Fabiano L. de Sousa,Ronan A. J. Chagas,SEMISH
Leonardo B. da Luz,Ronan A. J. Chagas,SEMISH
Aline Mello,Amanda Melo,WIT
Aline Mello,Isadora Ferrão,WIT
Amanda Melo,Isadora Ferrão,WIT
Ana Lara S. Oliveira,Anna Beatriz Marques,WIT
Ana Lara S. Oliveira,Jacilane de H. Rabelo,WIT
Ana Lara S. Oliveira,Karina Castelo Branco,WIT
Ana Lara S. Oliveira,Lauana M. C. de Oliveira,WIT
Ana Lara S. Oliveira,Maria Victoria S. Fiori,WIT
Ana Lara S. Oliveira,Marina da S. Rocha,WIT
Anna Beatriz Marques,Jacilane de H. Rabelo,WIT
Anna Beatriz Marques,Karina Castelo Branco,WIT
Anna Beatriz Marques,Lauana M. C. de Oliveira,WIT
Anna Beatriz Marques,Maria Victoria S. Fiori,WIT
Anna Beatriz Marques,Marina da S. Rocha,WIT
Jacilane de H. Rabelo,Karina Castelo Branco,WIT
Jacilane de H. Rabelo,Lauana M. C. de Oliveira,WIT
Jacilane de H. Rabelo,Maria Victoria S. Fiori,WIT
Jacilane de H. Rabelo,Marina da S. Rocha,WIT
Karina Castelo Branco,Lauana M. C. de Oliveira,WIT
Karina Castelo Branco,Maria Victoria S. Fiori,WIT
Karina Castelo Branco,Marina da S. Rocha,WIT
Lauana M. C. de Oliveira,Maria Victoria S. Fiori,WIT
Lauana M. C. de Oliveira,Marina da S. Rocha,WIT
Maria Victoria S. Fiori,Marina da S. Rocha,WIT
André L. L. Aquino,Marcelo O. Souza,SBCUP
André L. L. Aquino,Raquel S. Cabral,SBCUP
Marcelo O. Souza,Raquel S. Cabral,SBCUP
Cristiano R. Cervi,Daniel M. Kuhn,SEMISH
Cristiano R. Cervi,Edimar Mânica,SEMISH
Daniel M. Kuhn,Edimar Mânica,SEMISH
Braulio Adriano de Mello,Ricardo Parizotto,SEMISH
Flavio Miyazawa,Thiago de Queiroz,ETC
Flavio Miyazawa,Vinícius Lima,ETC
Flavio Miyazawa,Yulle Borges,ETC
Thiago de Queiroz,Vinícius Lima,ETC
Thiago de Queiroz,Yulle Borges,ETC
Vinícius Lima,Yulle Borges,ETC
Ana Paula Cavadas Rodrigues,Carla Verônica Machado Marques,WIT
Ana Paula Cavadas Rodrigues,Carlo Emmanoel Tolla de Oliveira,WIT
Ana Paula Cavadas Rodrigues,Claudia Lage Rebello da Motta,WIT
Ana Paula Cavadas Rodrigues,Raquel Moreira Machado Fernandes,WIT
Carla Verônica Machado Marques,Carlo Emmanoel Tolla de Oliveira,WIT
Carla Verônica Machado Marques,Claudia Lage Rebello da Motta,WIT
Carla Verônica Machado Marques,Raquel Moreira Machado Fernandes,WIT
Carlo Emmanoel Tolla de Oliveira,Claudia Lage Rebello da Motta,WIT
Carlo Emmanoel Tolla de Oliveira,Raquel Moreira Machado Fernandes,WIT
Claudia Lage Rebello da Motta,Raquel Moreira Machado Fernandes,WIT
Libério Silva,Sanderson Gonzaga de Oliveira,SEMISH
Caio Flexa,Sergio Viademonte,WPerformance
Caio Flexa,Walisson Gomes,WPerformance
Sergio Viademonte,Walisson Gomes,WPerformance
Cecília Lescano Osório,Edna Ayako Hoshino,ETC
Bruno César Vani,César Silva,ENCompIF
Bruno César Vani,Jessica Viana,ENCompIF
Bruno César Vani,Melissa Zanatta,ENCompIF
César Silva,Jessica Viana,ENCompIF
César Silva,Melissa Zanatta,ENCompIF
