Autor_Canonico,Sigla
Daniel Carlos Guimarães Pedronette,CTD
Rodrigo Azevedo Santos,CTD
Aline Paes,CTD
Gerson Zaverucha,CTD
Rayson Laroca,CTD
David Menotti,CTD
Manoel Horta Ribeiro,CTD
Virgílio A. F. Almeida,CTD
Wagner Meira Jr,CTD
Alesom Zorzi,CTD
Celina M. H. de Figueiredo,CTD
Raphael C. S. Machado,CTD
Laís M. A. Rocha,CTD
Mirella M. Moro,CTD
Juliana Freire,CTD
Gabriel O. Ramos,CTD
Ana L. C. Bazzan,CTD
Bruna A. da Silva,CTD
Thiago Gouveia da Silva,CTD
Ramon Pires,CTD
Anderson Rocha,CTD
Jacques Wainer,CTD
Eduardo K. Viegas,CTD
Altair O. Santin,CTD
Daniel Xavier de Sousa,CTD
Marcos André Gonçalves,CTD
Leandro M. Zatesko,CTD
Renato Carmo,CTD
André L. P. Guedes,CTD
Hugo Sadok,CTD
Miguel Elias M. Campista,CTD
Luis Henrique M. K. Costa,CTD
Samuel M. A. Araújo,CTD
Geraldo R. Mateus,CTD
Fernanda S. H. de Souza,CTD
Nicollas M. Sdroievski,CTD
Murilo V. G. da Silva,CTD
André L. Vignatti,CTD
Zanoni Dias,CTD
Marcos Roberto e Souza,CTD
Helio Pedrini,CTD
Anderson Lemos,CTD
Vinicius F. Santos,CTD
Olga Goussevskaia,CTD
Bruno Henrique Ribeiro da Fonseca,CTD
Douglas Silva Domingues,CTD
Alexandre Rossi Paschoal,CTD
Jorge A. Wagner Filho,CTD
Carla M. D. S. Freitas,CTD
Luciana Nedel,CTD
Alex Gliesch,CTD
Marcus Ritt,CTD
Celso A. Weffort-Santos,CTD
Christiane N. Campos,CTD
Rafael C. S. Schouery,CTD
