Autor,Gênero,Grau (Centralidade),Grau Ponderado (Força)
Júlio Araújo,Homem,0.0022,4
Vinicius F. dos Santos,Homem,0.006,11
Vinicius Fernandes dos Santos,Homem,0.0022,4
Alexandre Costa,Homem,0.0011,2
Flávia Delicato,Mulher,0.0011,2
Jose Souza,Homem,0.0011,2
Alexandre P. Züge,Homem,0.0022,4
Carlos R. Beleti Junior,Homem,0.0022,4
Marcelo Valério,Homem,0.0022,4
Maytê G. C. Bezerra,Mulher,0.0022,4
Robertino M. Santiago Junior,Homem,0.0022,4
Alexandre Pereira do Carmo,Homem,0.0038,9
Clebeson Canuto dos Santos,Homem,0.0022,4
Douglas Almonfrey,Homem,0.0027,5
Felippe Mendonça de Queiroz,Homem,0.0038,9
Leonardo de Assis Silva,Homem,0.0022,4
Pedro Vinicius dos Santos Custodio,Homem,0.0027,5
Raquel Frizera Vassallo,Mulher,0.0038,9
Wagner Augusto Aranda Cotta,Homem,0.0027,5
Alexandre Prusch Züge,Homem,0.0016,3
Carlos Roberto Beleti Junior,Homem,0.0066,15
Maytê Gouvêa Coleto Bezerra,Mulher,0.0016,3
Robertino Mendes Santiago Junior,Homem,0.0016,3
Alexandre Ribeiro,Homem,0.0016,3
Guilherme Londe,Homem,0.0016,3
Jorge dos Santos,Homem,0.0016,3
Welverton da Silva,Homem,0.0016,3
Alexandre Rocha,Homem,0.0027,5
Denis Rosário,Homem,0.0126,32
Francisco da Ponte,Homem,0.0027,5
Gabriel Galdino,Homem,0.0027,5
Joaquim Celestino Jr,Homem,0.0027,5
Rafael Gomes,Homem,0.0044,8
Alexandre Rossi Paschoal,Homem,0.0011,2
Bruno Henrique Ribeiro da Fonseca,Homem,0.0011,2
Douglas Silva Domingues,Homem,0.0011,2
Alexandre Scaico,Homem,0.0011,2
José Samuel Assunção Luz,Homem,0.0011,2
Juliana Aragão,Mulher,0.0011,2
Alexandre da Rosa,Homem,0.0016,3
Andreia de Jesus,Mulher,0.0016,3
Gabriel Vaz Igarashi,Homem,0.0016,3
