Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
João Guilherme Martinez,Homem,Rosiane Freitas,Mulher,1
João Pedro W. Bernardi,Homem,Leandro M. Zatesko,Homem,1
João Pedro W. Bernardi,Homem,Sheila M. Almeida,Mulher,1
João Pedro de Souza,Homem,Wanderson Lomenha,Homem,1
João V. S. Leite,Homem,Marcos Bedo,Homem,1
João V. S. Leite,Homem,Rodolfo A. de Oliveira,Homem,1
Juan Gutiérrez,Homem,Luis Chahua,Homem,1
Juan P. A. Lopes,Homem,Valmir C. Barbosa,Homem,1
Julio Araujo,Homem,Rayane Castro,Mulher,1
Julio Araujo,Homem,Vinicius Fernandes dos Santos,Homem,1
Júlio Araújo,Homem,Vinicius F. Santos,Homem,1
Júlio C. S. Araújo,Homem,Marcio C. Santos,Homem,1
Kenny Domingues,Homem,Yuri Silva de Oliveira,Homem,1
Leandro M. Zatesko,Homem,Murilo V. G. da Silva,Homem,1
Leandro M. Zatesko,Homem,Sheila M. Almeida,Mulher,2
Leonardo C. de Abreu,Homem,Manoel Campêlo,Homem,1
Lorrana F. de Castro,Mulher,Rodolfo A. de Oliveira,Homem,1
Lucas Colucci,Homem,Matheus Secco,Homem,1
Lucas Colucci,Homem,Paulo Matias,Homem,1
Lucas Colucci,Homem,Roberto Parente,Homem,1
Lucas Colucci,Homem,Yoshiharu Kohayakawa,Homem,1
Luis Filipe de Lima Sales,Homem,Raimundo Azevedo Neto,Homem,1
Maicon Lima,Homem,Melque Henrique Castro,Homem,1
Maicon Lima,Homem,Nubia Rosa da Silva,Mulher,1
Maicon Lima,Homem,Thiago Leite,Homem,1
Manoel Campêlo,Homem,Pablo Luiz B. Soares,Homem,1
Manoel Campêlo,Homem,Pedro Jorge de Abreu Figueredo,Homem,1
Manuel Iori,Homem,Vítor Gomes Chagas,Homem,1
Marcelo E. Vendramin,Homem,Álvaro J. P. Franco,Homem,1
Marcelo Fonseca Faraj,Homem,Sebastián Urrutia,Homem,1
Marcos Bedo,Homem,Rodolfo A. de Oliveira,Homem,1
Marcos Salvatierra,Homem,Rosiane Freitas,Mulher,1
Marcus T. Costa,Homem,Mariana M. F. da Cruz,Mulher,1
Maria Luíza López Cruz,Mulher,Raquel Souza Francisco Bravo,Mulher,1
María Pía Mazzoleni,Mulher,Vitor T. F. de Luca,Homem,1
Matheus Guedes,Homem,Vinicius F. Santos,Homem,1
Matheus Secco,Homem,Paulo Matias,Homem,1
Matheus Secco,Homem,Roberto Parente,Homem,1
Matheus T. Mattioli,Homem,Mário César San Felice,Homem,1
Matheus T. Mattioli,Homem,Pedro H. D. B. Hokama,Homem,1
Mauro Nigro,Homem,Sérgio Fusquino,Homem,1
Mauro R. C. Silva,Homem,Rafael C. S. Schoeury,Homem,1
Mauro Roberto Costa da Silva,Homem,Rafael C. S. Schoeury,Homem,1
Mauro Roberto Costa da Silva,Homem,Welverton Rodrigues da Silva,Homem,1
