Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Francisco Airton Silva,Homem,Paulo Henrique Rocha,Homem,1
Francisco Airton Silva,Homem,Samuel de Oliveira Ribeiro,Homem,1
Francisco José Monaco,Homem,Lourenço Alves Pereira Júnior,Homem,1
Francisco José Monaco,Homem,Marcos José Santana,Homem,1
Francisco José Monaco,Homem,Regina H. Carlucci Sanatana,Mulher,1
Gabriel Alves,Homem,Júlio Mendonça,Homem,1
Gabriel Alves,Homem,Wilson Medeiros,Homem,1
Gabriel B. Moro,Homem,Lucas Mello Schnorr,Homem,1
Gabriel F. C. de Queiroz,Homem,Rodrigo S. Couto,Homem,1
Gabriel G. Silva,Mulher,Mariza Ferro,Mulher,1
Gabriel G. Silva,Mulher,Ricardo Bragança,Homem,1
Gabriel G. Silva,Mulher,Rodrigo Gandra,Homem,1
Gabriel G. Silva,Mulher,Vinicius Klõh,Homem,1
Gabriel Mendonça,Homem,Gustavo H. A. Santos,Homem,1
Gabriel Mendonça,Homem,Rosa M.M. Leão,Mulher,1
Gesiel Rios Lopes,Homem,Gonzalo Travieso,Homem,1
Gesiel Rios Lopes,Homem,Kalinka Branco,Mulher,1
Gesiel Rios Lopes,Homem,Paulo S. L. Souza,Homem,1
Giulio Iacobelli,Homem,João Vitor B. Tavares,Homem,1
Giulio Iacobelli,Homem,Pedro Freitas,Homem,1
Giulio Iacobelli,Homem,Victor Cardoso,Homem,1
Glauber Dias Gonçalves,Homem,Jussara Almeida,Mulher,1
Glauber Dias Gonçalves,Homem,Samuel de Oliveira Ribeiro,Homem,1
Gonzalo Travieso,Homem,Kalinka Branco,Mulher,1
Gonzalo Travieso,Homem,Paulo S. L. Souza,Homem,1
Gustavo Callou,Homem,Júlio Mendonça,Homem,1
Gustavo Callou,Homem,Valdir Carvalho,Homem,1
Gustavo H. A. Santos,Homem,Rosa M.M. Leão,Mulher,1
Gustavo M. D. Vieira,Homem,William B. Mingardi,Homem,1
Gustavo S. Carnivali,Homem,Paulo A. A. Esquef,Homem,1
Guto Leoni,Homem,Iure Fé,Homem,1
Guto Leoni,Homem,Laécio Rodrigues,Homem,1
Helder Oliveira,Homem,Rafael Lopes,Homem,1
Henrique C. Freitas,Homem,Humberto T. Marques-Neto,Homem,1
Henrique C. Freitas,Homem,Tiago B. Silveira,Homem,1
Hudson Lopes,Homem,Ricardo Bruno de Oliveira,Homem,1
Hugo Kuribayashi,Homem,Isaac Barros,Homem,1
Hugo Kuribayashi,Homem,João Barbosa,Homem,1
Hugo Kuribayashi,Homem,João Carmona,Homem,1
Hugo Kuribayashi,Homem,Warley Junior,Homem,1
Hugo Kuribayashi,Homem,Wendel Serra,Homem,1
Humberto T. Marques-Neto,Homem,Tiago B. Silveira,Homem,1
Igor Gonçalves,Homem,Iure Fé,Homem,1
Igor Gonçalves,Homem,Laécio Rodrigues,Homem,1
Igor Gonçalves,Homem,Patrícia Endo,Mulher,1
Igor W. A. Falcão,Homem,Marcos C. R. Seruffo,Homem,1
Igor W. A. Falcão,Homem,Rafael F. Vieira,Homem,1
Isaac Barros,Homem,João Barbosa,Homem,1
Isaac Barros,Homem,João Carmona,Homem,1
Isaac Barros,Homem,Warley Junior,Homem,1
Isaac Barros,Homem,Wendel Serra,Homem,1
Italo Cunha,Homem,Leandro P. de Aguiar,Homem,2
Iure Fé,Homem,Laécio Rodrigues,Homem,2
Iure Fé,Homem,Patrícia Endo,Mulher,1
Jairo Panetta,Homem,Matheus S. Serpa,Homem,1
Jairo Panetta,Homem,Matheus da Silva Serpa,Homem,1
Jairo Panetta,Homem,Pablo José Pavan,Homem,1
Jairo Panetta,Homem,Philippe O. A. Navaux,Homem,2
Jairo Panetta,Homem,Ricardo K. Lorenzoni,Homem,1
Jairo Panetta,Homem,Víctor Martínez,Homem,1
Jasiel G. Bahia,Homem,Miguel Elias M. Campista,Homem,1
Jean Araújo,Homem,Luan Lins,Homem,1
Jean Patric da Costa,Homem,Marcelo Teixeira,Homem,1
Jhonatan T. Cabral Néry,Homem,Joslaine C. Jeske de Freitas,Mulher,1
Joaquim C. Júnior,Homem,Leonardo Rocha,Homem,1
Joaquim C. Júnior,Homem,Renan da S. Alves,Homem,1
Joari S. L. Filho,Homem,Manuel G. da S. Neto,Homem,1
Joari S. L. Filho,Homem,Paulo A. L. Rego,Homem,1
José Neuman de Souza,Homem,Leonardo Moreira,Homem,1
José Neuman de Souza,Homem,Maurício M. Neto,Homem,1
João Barbosa,Homem,João Carmona,Homem,1
João Barbosa,Homem,Warley Junior,Homem,1
João Barbosa,Homem,Wendel Serra,Homem,1
João Carmona,Homem,Warley Junior,Homem,1
João Carmona,Homem,Wendel Serra,Homem,1
João Ismael Pinheiro,Homem,Mateus S. Nogueira,Homem,1
Juliano F. Kazienko,Homem,Silvio E. Quincozes,Homem,1
Juliano F. Kazienko,Homem,Vagner E. Quincozes,Homem,1
Jussara Almeida,Mulher,Samuel de Oliveira Ribeiro,Homem,1
Júlio Mendonça,Homem,Valdir Carvalho,Homem,1
Júlio Mendonça,Homem,Wilson Medeiros,Homem,1
Kalinka Branco,Mulher,Paulo S. L. Souza,Homem,1
Karina Wiechork,Mulher,Marco Antoni,Homem,1
Lauri P. Laux Jr,Homem,Roberto A. Hexsel,Homem,1
Laécio Rodrigues,Homem,Lucas Santos,Homem,1
Laécio Rodrigues,Homem,Matheus Torquato,Homem,1
Laécio Rodrigues,Homem,Patrícia Endo,Mulher,1
Leandro A. Villas,Homem,Wellington Lobato Junior,Homem,1
Leandro P. de Aguiar,Homem,Matheus Martins,Homem,1
Leandro P. de Aguiar,Homem,Miguel A. Bicudo,Homem,1
Leonardo Moreira,Homem,Maurício M. Neto,Homem,1
Leonardo Rocha,Homem,Renan da S. Alves,Homem,1
Leonardo Teteo,Homem,Pedro Moura,Homem,1
Liria M. Sato,Mulher,Tatiana T. Torres,Mulher,1
Lourenço Alves Pereira Júnior,Homem,Marcos José Santana,Homem,1
Lourenço Alves Pereira Júnior,Homem,Regina H. Carlucci Sanatana,Mulher,1
Lucas Mello Schnorr,Homem,Luka Stanisic,Homem,1
Lucas Mello Schnorr,Homem,Samuel Thibault,Homem,1
Lucas Mello Schnorr,Homem,Vincent Danjean,Homem,1
Lucas Mello Schnorr,Homem,Vinicius Garcia Pinto,Homem,1
Lucas Santos,Homem,Matheus Torquato,Homem,1
Luciano Paschoal Gaspary,Homem,Nicolas Silveira Kagami,Homem,1
Luka Stanisic,Homem,Samuel Thibault,Homem,1
Luka Stanisic,Homem,Vincent Danjean,Homem,1
Luka Stanisic,Homem,Vinicius Garcia Pinto,Homem,1
Manuel G. da S. Neto,Homem,Paulo A. L. Rego,Homem,1
Marcos C. R. Seruffo,Homem,Rafael F. Vieira,Homem,1
Marcos José Santana,Homem,Regina H. Carlucci Sanatana,Mulher,1
Mariza Ferro,Mulher,Ricardo Bragança,Homem,1
Mariza Ferro,Mulher,Rodrigo Gandra,Homem,1
Mariza Ferro,Mulher,Vinicius Klõh,Homem,1
Mateus Manuel,Homem,Renan Costa,Homem,1
Matheus Martins,Homem,Miguel A. Bicudo,Homem,1
Matheus S. Serpa,Homem,Philippe O. A. Navaux,Homem,1
Matheus S. Serpa,Homem,Ricardo K. Lorenzoni,Homem,1
Matheus da Silva Serpa,Homem,Pablo José Pavan,Homem,1
Matheus da Silva Serpa,Homem,Philippe O. A. Navaux,Homem,1
Matheus da Silva Serpa,Homem,Víctor Martínez,Homem,1
Michel S. Bonfim,Homem,Paulo A. L. Rego,Homem,1
Michel S. Bonfim,Homem,Roseli da R. Barbosa,Mulher,1
Michelle Cacais,Mulher,Paulo Armando C. Aguilar,Homem,1
Michelle Cacais,Mulher,Rossana M. C. Andrade,Mulher,1
