Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Everton de Matos,Homem,Leonardo Amaral,Homem,1
Everton de Matos,Homem,Matheus Crespi Schenfeld,Homem,1
Fabiane Cristina Altino,Mulher,Fábio Carlos Moreno,Homem,1
Fabiane Cristina Altino,Mulher,Marcelo Ozawa de Sousa,Homem,1
Fabiane Cristina Altino,Mulher,Maria Renata de Mira Gobbo,Mulher,1
Fabiane Galafassi,Mulher,Rosa Vicari,Mulher,1
Fabiano Hessel,Homem,Leonardo Amaral,Homem,1
Fabiano Hessel,Homem,Matheus Crespi Schenfeld,Homem,1
Felipe Barbalho,Homem,Flavia C. Delicato,Mulher,1
Felipe Barbalho,Homem,Lucas Santos,Homem,1
Felipe Barbalho,Homem,Paulo F. Pires,Homem,1
Felipe Barbalho,Homem,Thais Batista,Mulher,1
Felipe Rocha,Homem,José Gameleira Neto,Homem,1
Felipe Rocha,Homem,Luís Felipe Santos,Homem,1
Felipe Rocha,Homem,Oswaldo de Oliveira,Homem,1
Felipe Rocha,Homem,Pedro Paulo Balbi,Homem,1
Felipe Rocha,Homem,Sâmela Ferreira,Mulher,1
Felipe Rocha,Homem,Thais Batista,Mulher,2
Fernanda Campos,Mulher,Lucas Bressan,Homem,1
Fernanda Campos,Mulher,Regina Braga,Mulher,1
Fernando Figueira Filho,Homem,Leandro de Almeida Melo,Homem,1
Fernando Figueira Filho,Homem,Nelson Tenório Jr.,Homem,1
Flavia C. Delicato,Mulher,Lucas Santos,Homem,1
Flavia C. Delicato,Mulher,Paulo F. Pires,Homem,1
Flavia C. Delicato,Mulher,Thais Batista,Mulher,1
Francisco Nivando Bezerra,Homem,Savio Lopes Rabelo,Homem,1
Francisco Nivando Bezerra,Homem,Tamara Arruda Pereira,Mulher,1
Francisco de Albuquerque Júnior,Homem,Marcelino Silva da Silva,Homem,1
Francisco de Albuquerque Júnior,Homem,Vanilze Vaz,Mulher,1
Francisco de Assis Boldt,Homem,Jefferson Oliveira Andrade,Homem,1
Francisco de Assis Boldt,Homem,Karin Satie Komati,Mulher,1
Francisco de Assis Boldt,Homem,Leandro Rodrigues Ramos,Homem,1
Fábio Carlos Moreno,Homem,Marcelo Ozawa de Sousa,Homem,1
Fábio Carlos Moreno,Homem,Maria Renata de Mira Gobbo,Mulher,1
Fábio Franco de Oliveira,Homem,Roberto Colistete Junior,Homem,1
Fábio Franco de Oliveira,Homem,Rodolfo da Silva Villaça,Homem,1
Fábio da Cunha Garcia,Homem,Gilberto Fonseca Barroso,Homem,1
Fábio da Cunha Garcia,Homem,Roberto Colistete Junior,Homem,1
Fábio da Cunha Garcia,Homem,Rodolfo da Silva Villaça,Homem,1
Gabriel Oliveira Ferreira,Homem,Luís Filipe Pereira Silva,Homem,1
George Teodoro,Homem,Rafael M. Ramos,Homem,1
Geovanna Evelyn Taype Espinoza,Mulher,Maria Cecilia Calani Baranauskas,Mulher,1
Gerson Cavalheiro,Homem,João Lopes,Homem,1
Gerson Cavalheiro,Homem,Leonardo João,Homem,1
Gerson Cavalheiro,Homem,Roger Machado,Homem,1
Gerson Cavalheiro,Homem,Verônica Tabim,Mulher,1
Gerson Serejo,Homem,Gustavo Pessin,Homem,1
Gerson Serejo,Homem,Heitor Freitas,Homem,1
Gerson Serejo,Homem,Jó Ueyama,Homem,1
Gerson Serejo,Homem,Marcelo Maia da Silva,Homem,1
Gilberto Fonseca Barroso,Homem,Roberto Colistete Junior,Homem,1
Gilberto Fonseca Barroso,Homem,Rodolfo da Silva Villaça,Homem,1
Giovani R. F. Junior,Homem,Igor M. Pereira,Homem,1
Giovani R. F. Junior,Homem,Thiago L. Gomes,Homem,1
Giovani R. F. Junior,Homem,Vicente J. P. Amorim,Homem,1
Gustavo M. S. Dória,Homem,Luciano Silva,Homem,1
Gustavo M. S. Dória,Homem,Olga R. P. Bellon,Mulher,1
Gustavo M. S. Dória,Homem,Thiago Pradi,Homem,1
Gustavo Pessin,Homem,Heitor Freitas,Homem,1
Gustavo Pessin,Homem,Jó Ueyama,Homem,1
Gustavo Pessin,Homem,Marcelo Maia da Silva,Homem,1
Heitor Freitas,Homem,Jó Ueyama,Homem,1
Heitor Freitas,Homem,Marcelo Maia da Silva,Homem,1
Helton Maia,Homem,John Victor Alves Luiz,Homem,1
Helton Maia,Homem,Mateus Eloi da Silva Bastos,Homem,1
Helton Maia,Homem,Richardson Santiago Teles de Menezes,Homem,2
Helton Maia,Homem,Rossana Moreno Santa Cruz,Mulher,1
Helton Maia,Homem,Vitor Yeso Fidelis Freitas,Homem,1
Huberto Kaiser Filho,Homem,João Lopes,Homem,1
Huberto Kaiser Filho,Homem,Leonardo João,Homem,1
Huberto Kaiser Filho,Homem,Lucas Xavier,Homem,1
Huberto Kaiser Filho,Homem,Nelsi Warken,Mulher,1
Huberto Kaiser Filho,Homem,Patrícia Davet,Mulher,1
Huberto Kaiser Filho,Homem,Rodrigo Souza,Homem,1
Igor M. Pereira,Homem,Ricardo A. R. Oliveira,Homem,1
Igor M. Pereira,Homem,Ricardo C. Camara,Homem,1
Igor M. Pereira,Homem,Thiago L. Gomes,Homem,1
Igor M. Pereira,Homem,Vicente J. P. Amorim,Homem,2
Igor Muzetti Pereira,Homem,Vicente José Peixoto de Amorim,Homem,1
Igor W. A. Falcão,Homem,Marcos C. R. Seruffo,Homem,1
Igor W. A. Falcão,Homem,Paulo H. A. Pereira,Homem,2
Igor W. A. Falcão,Homem,Rafael F. Vieira,Homem,2
Igor W. A. Falcão,Homem,Rita de C. P. Cunha,Mulher,1
Isabela Zaine,Mulher,Kamila R. H. Rodrigues,Mulher,1
Isabela Zaine,Mulher,Maria da Graça C. Pimentel,Mulher,1
Ismael Araújo Ramos,Homem,Márcio André Baima Amora,Homem,1
Jefferson Andrade,Homem,Karin Komati,Mulher,1
Jefferson Andrade,Homem,Luiz Pinto,Homem,1
Jefferson Oliveira Andrade,Homem,Karin Satie Komati,Mulher,1
Jefferson Oliveira Andrade,Homem,Leandro Rodrigues Ramos,Homem,1
John Victor Alves Luiz,Homem,Richardson Santiago Teles de Menezes,Homem,1
John Victor Alves Luiz,Homem,Rossana Moreno Santa Cruz,Mulher,1
Jonathan Nau,Homem,Rudimar Luís Scaranto Dazzi,Homem,1
Jonice Oliveira Sampaio,Mulher,Luan Soares Andrade,Homem,1
Jonice Oliveira Sampaio,Mulher,Sérgio Manuel Serra da Cruz,Homem,1
Josiel N. Kuk,Homem,Lucas M. Pavelski,Homem,1
Josiel N. Kuk,Homem,Richard Aderbal Gonçalves,Homem,1
Josiel N. Kuk,Homem,Sandra Mara G. S. Venske,Mulher,1
José Gameleira Neto,Homem,Luís Felipe Santos,Homem,1
José Gameleira Neto,Homem,Thais Batista,Mulher,1
João C. P. da Silva,Homem,Karen Torres Teixeira,Mulher,1
João C. P. da Silva,Homem,Maria Luiza Machado Campos,Mulher,1
João Gustavo Kienen,Homem,Julia Luiza da Conceição,Mulher,1
João Gustavo Kienen,Homem,Rosiane Freitas,Mulher,1
João Gustavo Kienen,Homem,Sérgio Anders,Homem,1
João Lopes,Homem,Leonardo João,Homem,2
João Lopes,Homem,Lucas Xavier,Homem,1
João Lopes,Homem,Nelsi Warken,Mulher,1
João Lopes,Homem,Patrícia Davet,Mulher,1
João Lopes,Homem,Rodrigo Souza,Homem,1
João Lopes,Homem,Roger Machado,Homem,2
João Lopes,Homem,Rogério Albandes,Homem,1
João Lopes,Homem,Verônica Tabim,Mulher,1
João Marcos Cavalcanti,Homem,Marcela Pessoa,Mulher,1
João Marcos Cavalcanti,Homem,Robson Melo,Homem,1
João Marcos Cavalcanti,Homem,Sergio Cleger,Homem,1
Julia Luiza da Conceição,Mulher,Rosiane Freitas,Mulher,1
Julia Luiza da Conceição,Mulher,Sérgio Anders,Homem,1
Juliano Ratusznei,Homem,Waleska Zanotto,Mulher,1
Jó Ueyama,Homem,Marcelo Maia da Silva,Homem,1
Kamila R. H. Rodrigues,Mulher,Maria da Graça C. Pimentel,Mulher,1
Karen Torres Teixeira,Mulher,Maria Luiza Machado Campos,Mulher,1
Karin Komati,Mulher,Luiz Pinto,Homem,1
Karin Satie Komati,Mulher,Leandro Rodrigues Ramos,Homem,1
Keiko V. O. Fonseca,Mulher,Luiz C. Gomes Jr.,Homem,1
Keiko V. O. Fonseca,Mulher,Marcelo O. Rosa,Homem,1
Keiko V. O. Fonseca,Mulher,Monika Abkar,Mulher,1
Keiko V. O. Fonseca,Mulher,Nádia P. Kozievitch,Mulher,1
Keiko V. O. Fonseca,Mulher,Tatiana M. C. Gadda,Mulher,1
Leandro A. Martinez,Homem,Tiago Lobo,Homem,1
Leandro de Almeida Melo,Homem,Nelson Tenório Jr.,Homem,1
Leonardo Amaral,Homem,Matheus Crespi Schenfeld,Homem,1
Leonardo Cunha de Miranda,Homem,Paulo L. S. Brizolara,Homem,1
Leonardo João,Homem,Lucas Xavier,Homem,1
Leonardo João,Homem,Nelsi Warken,Mulher,1
Leonardo João,Homem,Patrícia Davet,Mulher,1
Leonardo João,Homem,Rodrigo Souza,Homem,1
Leonardo João,Homem,Roger Machado,Homem,1
Leonardo João,Homem,Verônica Tabim,Mulher,1
Libério Silva,Homem,Sanderson Gonzaga de Oliveira,Homem,1
Luan Soares Andrade,Homem,Sérgio Manuel Serra da Cruz,Homem,1
Lucas Bressan,Homem,Regina Braga,Mulher,1
Lucas M. Pavelski,Homem,Richard Aderbal Gonçalves,Homem,1
Lucas M. Pavelski,Homem,Sandra Mara G. S. Venske,Mulher,1
Lucas Santos,Homem,Paulo F. Pires,Homem,1
Lucas Santos,Homem,Thais Batista,Mulher,1
Lucas Xavier,Homem,Nelsi Warken,Mulher,1
Lucas Xavier,Homem,Patrícia Davet,Mulher,1
Lucas Xavier,Homem,Rodrigo Souza,Homem,1
Luciano Silva,Homem,Olga R. P. Bellon,Mulher,1
Luciano Silva,Homem,Thiago Pradi,Homem,1
Luiz C. Gomes Jr.,Homem,Marcelo O. Rosa,Homem,1
Luiz C. Gomes Jr.,Homem,Monika Abkar,Mulher,1
Luiz C. Gomes Jr.,Homem,Nádia P. Kozievitch,Mulher,1
Luiz C. Gomes Jr.,Homem,Tatiana M. C. Gadda,Mulher,1
Luís Felipe Santos,Homem,Thais Batista,Mulher,1
Manoel S. L. Neto,Homem,Marly G. F. Costa,Mulher,1
Marcela Pessoa,Mulher,Robson Melo,Homem,1
Marcela Pessoa,Mulher,Sergio Cleger,Homem,1
Marcelino Silva da Silva,Homem,Vanilze Vaz,Mulher,1
Marcelo O. Rosa,Homem,Monika Abkar,Mulher,1
Marcelo O. Rosa,Homem,Nádia P. Kozievitch,Mulher,1
Marcelo O. Rosa,Homem,Tatiana M. C. Gadda,Mulher,1
Marcelo Ozawa de Sousa,Homem,Maria Renata de Mira Gobbo,Mulher,1
Marcelo de Souza Júnior,Homem,Pedro H. Bugatti,Homem,2
Marcelo de Souza Júnior,Homem,Priscila T. M. Saito,Mulher,2
Marcelo de Souza Júnior,Homem,Rafael S. Bressan,Homem,2
Marcos C. R. Seruffo,Homem,Paulo H. A. Pereira,Homem,1
Marcos C. R. Seruffo,Homem,Rafael F. Vieira,Homem,1
