Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Cristiano A. da Costa,Homem,Emiliano S. Monteiro,Homem,1
Cristiano A. da Costa,Homem,Lucas Pfeiffer Salomão Dias,Homem,1
Cristiano A. da Costa,Homem,Luis A. Z. Pozenato,Homem,1
Cristiano A. da Costa,Homem,Maria Eloisa Mignoni,Mulher,1
Cristiano A. da Costa,Homem,Mateus Schmitz da Silveira,Homem,1
Cristiano A. da Costa,Homem,Rafael Kunst,Homem,1
Cristiano A. da Costa,Homem,Rodolfo Stoffel Antunes,Homem,1
Cristiano A. da Costa,Homem,Rodrigo R. Righi,Homem,2
Cristiano A. da Costa,Homem,Rodrigo da Rosa Righi,Homem,2
Cristiano A. da Costa,Homem,Thiago Roberto Lima Lopes,Homem,1
Cristiano A. da Costa,Homem,Uélison Jean L. Santos,Homem,1
Cristiano A. da Costa,Homem,Vinícius F. Rodrigues,Homem,1
Cristopher Freitas,Homem,Givanildo Júnior,Homem,1
Cristopher Freitas,Homem,Heitor S. Ramos,Homem,1
Cristopher Freitas,Homem,Osvaldo A. Rosso,Homem,2
Cristopher Freitas,Homem,Raquel S. Cabral,Mulher,1
Cássio Eckstein,Homem,Marcelo Trindade Rebonatto,Homem,1
César Perdigão Batista,Homem,Everton Cavalcante,Homem,1
César Perdigão Batista,Homem,Pedro Victor Silva,Homem,1
César Perdigão Batista,Homem,Thais Batista,Mulher,1
Daniel Victor Saraiva,Homem,Lindemberg Nascimento,Homem,1
Daniel Victor Saraiva,Homem,Reinaldo B. Braga,Homem,1
Daniel Victor Saraiva,Homem,Renato Alves,Homem,1
Danielo G. Gomes,Homem,Leonardo Moreira,Homem,1
Danielo G. Gomes,Homem,Michelle G. Cacais,Mulher,1
Danielo G. Gomes,Homem,Weslley L. Caldas,Homem,1
Danilo Vasconcelos,Homem,Rossana Andrade,Mulher,1
Danilo Vasconcelos,Homem,Valdenir Severino,Homem,1
Dannylo Johnathan,Homem,Mário Melo,Homem,1
Dannylo Johnathan,Homem,Rafael Queiroz,Homem,1
David C. P. da Cunha,Homem,José C. F. M. Júnior,Homem,1
David Coelho dos Santos,Homem,João Carlos Xavier Júnior,Homem,1
Denis Rosário,Homem,Eduardo Cerqueira,Homem,6
Denis Rosário,Homem,Eduardo Lima,Homem,1
Denis Rosário,Homem,Eduardo Nogueira,Homem,1
Denis Rosário,Homem,Felipe Araújo,Homem,2
Denis Rosário,Homem,Francisco da Ponte,Homem,1
Denis Rosário,Homem,Gabriel Galdino,Homem,1
Denis Rosário,Homem,Geam Pfeiff,Homem,1
Denis Rosário,Homem,Gilmar Moraes,Homem,1
Denis Rosário,Homem,Helder Oliveira,Homem,4
Denis Rosário,Homem,Hugo Santos,Homem,1
Denis Rosário,Homem,Iago Medeiros,Homem,1
Denis Rosário,Homem,Jean Moraes,Homem,1
Denis Rosário,Homem,Joaquim Celestino Jr,Homem,1
Denis Rosário,Homem,Leonardo Marques,Homem,1
Denis Rosário,Homem,Lucas B. Oliveira,Homem,1
Denis Rosário,Homem,Maria Tostes,Mulher,1
Denis Rosário,Homem,Nagib Matni,Homem,1
Denis Rosário,Homem,Paulo Eugênio,Homem,1
Denis Rosário,Homem,Rafael Gomes,Mulher,1
Denis Rosário,Homem,Renato Mota,Homem,1
Denis Rosário,Homem,Stefany Pinheiro,Mulher,1
Denis Rosário,Homem,Ubiratan Bezerra,Homem,1
Denis Rosário,Homem,Wanderson Modesto,Homem,1
Diórgenes Y. L. da Rosa,Homem,Ricardo B. Almeida,Homem,1
Diórgenes Y. L. da Rosa,Homem,Roger Machado,Homem,1
Douglas Almonfrey,Homem,Felippe Mendonça de Queiroz,Homem,1
Douglas Almonfrey,Homem,Pedro Vinicius dos Santos Custodio,Homem,1
Douglas Almonfrey,Homem,Raquel Frizera Vassallo,Mulher,1
Douglas Almonfrey,Homem,Wagner Augusto Aranda Cotta,Homem,1
Eduardo Abreu,Homem,Gerson Cavalheiro,Homem,1
Eduardo Abreu,Homem,João Lopes,Homem,1
Eduardo Cerqueira,Homem,Eduardo Lima,Homem,1
Eduardo Cerqueira,Homem,Eduardo Nogueira,Homem,1
Eduardo Cerqueira,Homem,Felipe Araújo,Homem,2
Eduardo Cerqueira,Homem,Geam Pfeiff,Homem,1
Eduardo Cerqueira,Homem,Gilmar Moraes,Homem,1
Eduardo Cerqueira,Homem,Helder Oliveira,Homem,4
Eduardo Cerqueira,Homem,Hugo Santos,Homem,1
Eduardo Cerqueira,Homem,Iago Medeiros,Homem,1
Eduardo Cerqueira,Homem,Jean Moraes,Homem,1
Eduardo Cerqueira,Homem,Leonardo Marques,Homem,1
Eduardo Cerqueira,Homem,Maria Tostes,Mulher,1
Eduardo Cerqueira,Homem,Nagib Matni,Homem,1
Eduardo Cerqueira,Homem,Paulo Eugênio,Homem,1
Eduardo Cerqueira,Homem,Stefany Pinheiro,Mulher,1
Eduardo Cerqueira,Homem,Ubiratan Bezerra,Homem,1
Eduardo Cerqueira,Homem,Wanderson Modesto,Homem,1
Eduardo E. Mosca,Homem,Francisco A. Rocha,Homem,1
Eduardo E. Mosca,Homem,Gabriel G. Silva,Homem,1
Eduardo E. Mosca,Homem,Rafael Gomes,Mulher,1
Eduardo Grampín,Homem,Erika Rosas,Mulher,1
Eduardo Grampín,Homem,Javier Baliosian,Homem,1
Eduardo Grampín,Homem,Martín Gutiérrez,Homem,1
Eduardo Grampín,Homem,Nicolás Hidalgo,Homem,1
Eduardo Grampín,Homem,Paulo R. Coelho,Homem,1
Eduardo Grampín,Homem,Rafael Pasquini,Homem,1
Eduardo Grampín,Homem,Rodrigo S. Miani,Homem,1
Eduardo H. Teixeira,Homem,Joel J. P. C. Rodrigues,Homem,1
Eduardo H. Teixeira,Homem,Samuel B. Mafra,Homem,1
Eduardo H. Teixeira,Homem,Werner A. A. N. da Silveira,Homem,1
Eduardo Lima,Homem,Helder Oliveira,Homem,1
Eduardo Lima,Homem,Jean Moraes,Homem,1
Eduardo Lima,Homem,Nagib Matni,Homem,1
Eduardo Monks,Homem,Patrick Fernandes,Homem,1
Eduardo Monks,Homem,Renata Reiser,Mulher,1
Eduardo Monks,Homem,Renato Dilli,Homem,1
Eduardo Nogueira,Homem,Helder Oliveira,Homem,1
Eduardo Nogueira,Homem,Hugo Santos,Homem,1
Eduardo Nogueira,Homem,Leonardo Marques,Homem,1
Eduardo Nogueira,Homem,Paulo Eugênio,Homem,1
Efrem Lousada,Homem,Fátima Duarte-Figueiredo,Mulher,2
Efrem Lousada,Homem,Guilherme Silva,Homem,1
Efrem Lousada,Homem,Raquel Mini,Mulher,2
Eliana Almeida,Mulher,Pedro H. Barros,Homem,1
Eliseu Germano,Homem,Sergio Carvalho,Homem,1
Emiliano S. Monteiro,Homem,Maria Eloisa Mignoni,Mulher,1
Emiliano S. Monteiro,Homem,Rafael Kunst,Homem,1
Emiliano S. Monteiro,Homem,Rodrigo R. Righi,Homem,1
Erika Rosas,Mulher,Javier Baliosian,Homem,1
Erika Rosas,Mulher,Martín Gutiérrez,Homem,1
Erika Rosas,Mulher,Nicolás Hidalgo,Homem,1
Erika Rosas,Mulher,Paulo R. Coelho,Homem,1
Erika Rosas,Mulher,Rafael Pasquini,Homem,1
Erika Rosas,Mulher,Rodrigo S. Miani,Homem,1
Everton Cavalcante,Homem,Pedro Victor Silva,Homem,1
Everton Cavalcante,Homem,Thais Batista,Mulher,1
Evilasio Costa Junior,Homem,Leonardo Rocha,Homem,1
Evilasio Costa Junior,Homem,Rafael Gomes,Mulher,1
Evilasio Costa Junior,Homem,Rossana Andrade,Mulher,1
Fabrício A. Silva,Homem,Germano B. dos Santos,Homem,1
Fabrício A. Silva,Homem,Henrique S. Santana,Homem,1
Fabrício A. Silva,Homem,João Marcos A. M. Ramos,Homem,1
Fabrício A. Silva,Homem,Leonardo J. A. S. Figueiredo,Homem,1
Fabrício A. Silva,Homem,Leonardo Júnio A. dos Santos Figueiredo,Homem,1
Fabrício A. Silva,Homem,Leonardo Santos,Homem,1
Fabrício A. Silva,Homem,Luiz H. A. Correia,Homem,1
Fabrício A. Silva,Homem,Mateus Silva,Homem,1
Fabrício A. Silva,Homem,Raissa P. P. M. Souza,Mulher,1
Fabrício A. Silva,Homem,Raissa Souza,Mulher,1
Fabrício A. Silva,Homem,Thais R. M. B. Silva,Mulher,4
Fabrício A. Silva,Homem,Thais Silva,Mulher,1
Fabrício A. Silva,Homem,Vinícius G. J. Almeida,Homem,1
Felipe Araújo,Homem,Geam Pfeiff,Homem,1
